apple яблоко
Apple Яблоко
book книга
Book Книга
cat кот
Cat Кот
dog собака
Dog Собака
house дом
House Дом
sun солнце
Sun Солнце
moon луна
Moon Луна
water вода
Water Вода
fire огонь
Fire Огонь
tree дерево
Tree Дерево
flower цветок
Flower Цветок
sky небо
Sky Небо
star звезда
Star Звезда
wind ветер
Wind Ветер
rain дождь
Rain Дождь
snow снег
Snow Снег
earth земля
Earth Земля
ocean океан
Ocean Океан
river река
River Река
mountain гора
Mountain Гора
forest лес
Forest Лес
road дорога
Road Дорога
car машина
Car Машина
train поезд
Train Поезд
plane самолёт
Plane Самолёт
ship корабль
Ship Корабль
city город
City Город
village деревня
Village Деревня
school школа
School Школа
teacher учитель
Teacher Учитель
student ученик
Student Ученик
pen ручка
Pen Ручка
paper бумага
Paper Бумага
table стол
Table Стол
chair стул
Chair Стул
door дверь
Door Дверь
window окно
Window Окно
light свет
Light Свет
dark темнота
Dark Темнота
time время
Time Время
day день
Day День
night ночь
Night Ночь
morning утро
Morning Утро
evening вечер
Evening Вечер
food еда
Food Еда
bread хлеб
Bread Хлеб
milk молоко
Milk Молоко
meat мясо
Meat Мясо
fish рыба
Fish Рыба
fruit фрукт
Fruit Фрукт
vegetable овощ
Vegetable Овощ
friend друг
Friend Друг
love любовь
Love Любовь
family семья
Family Семья
child ребёнок
Child Ребёнок
man мужчина
Man Мужчина
woman женщина
Woman Женщина
game игра
Game Игра
music музыка
Music Музыка
song песня
Song Песня
movie фильм
Movie Фильм
Air Воздух
